CustomerNumber,NoteDate,Subject,Note,RelatedTo,Type
20206,2016-05-16T16:25:51,Added by Jenny Ginsburg,Requested 6 Sangio & 6 OGP in Fall,Contact,Note
19680,2016-05-24T16:00:55,Added by Jenny Ginsburg,Requested 6 Sangio & 6 OGP in Fall,Contact,Note
12339,2016-04-25T16:44:53,Added by Jenny Ginsburg,IW,Contact,Note
2616,2016-05-06T09:46:17,Added by Jenny Ginsburg,IW J. Phelps,Contact,Note
20336,2016-05-31T16:26:58,Added by Jenny Ginsburg,SHship - Skipping June Shipment,Contact,Note
19347,2016-06-15T09:22:28,Added by Jenny Ginsburg,SHChargeFall2016 - 9/1 Charge Spring 6-pack with fall case,Contact,Note
3221,2015-04-20T14:46:31,Added by Anamieke Kegge,SHAlways - Spring Pick-Up Fall Ship to CO Address,Contact,Note
3698,2015-06-11T09:01:54,Added by Anamieke Kegge,Moving to PA,Contact,Note
3698,2015-06-11T09:02:07,Added by Anamieke Kegge,Moving to PA,Contact,Note
15823,2015-03-10T14:19:53,Added by Kristin Crocker,Orderadd - option #1 6 BB $99 + .01 ship,Contact,Note
16384,2015-03-10T14:20:39,Added by Kristin Crocker,Orderadd - 1 case 2011 Noceto $150 + .01 ship,Contact,Note
10587,2015-01-19T08:41:03,Added by Kristin Crocker,rec email wants to cancel club still has 1/2 case left from last year,Contact,Note
2996,2014-12-02T14:10:55,Added by Kristin Crocker,rejoined BN club in TR 11-29-15,Contact,Note
10505,2014-12-05T09:50:31,Added by Kristin Crocker,rec email to cancel club,Contact,Note
7188,2014-12-05T11:55:29,Added by Kristin Crocker,can not drink right now has surgery due for another and on medication can't drink. ,Contact,Note
3089,2015-02-13T14:03:40,Added by Kristin Crocker,per SG notes skip fall always: get spring 6 pack only,Contact,Note
16665,2015-08-11T11:48:16,Added by Kristin Crocker,ShipTemp ,Contact,Note
2612,2015-08-11T11:48:30,Added by Kristin Crocker,ShipTemp ,Contact,Note
3247,2015-08-11T11:48:59,Added by Kristin Crocker,ShipTemp ,Contact,Note
8921,2015-08-11T11:49:54,Added by Kristin Crocker,ShipTemp ,Contact,Note
2896,2015-08-11T11:53:30,Added by Kristin Crocker,ShipTemp ,Contact,Note
3297,2015-08-11T11:53:44,Added by Kristin Crocker,ShipTemp ,Contact,Note
3046,2015-08-11T11:55:36,Added by Kristin Crocker,ShipTemp ,Contact,Note
4788,2015-08-11T11:55:57,Added by Kristin Crocker,ShipTemp ,Contact,Note
3112,2015-08-11T11:56:16,Added by Kristin Crocker,ShipTemp ,Contact,Note
2987,2015-08-11T13:09:53,Added by Kristin Crocker,ShipTemp,Contact,Note
1950,2015-08-11T13:10:34,Added by Kristin Crocker,ShipTemp,Contact,Note
11851,2015-08-11T13:11:35,Added by Kristin Crocker,ShipTemp,Contact,Note
2700,2015-08-11T13:11:52,Added by Kristin Crocker,ShipTemp,Contact,Note
2811,2015-08-11T13:12:19,Added by Kristin Crocker,ShipTemp,Contact,Note
2929,2015-08-11T13:12:35,Added by Kristin Crocker,ShipTemp,Contact,Note
10036,2015-08-11T13:13:10,Added by Kristin Crocker,ShipTemp,Contact,Note
3131,2015-08-11T13:13:27,Added by Kristin Crocker,ShipTemp,Contact,Note
1071,2015-08-11T11:46:21,Added by Kristin Crocker,ShipTemp ,Contact,Note
1744,2015-08-11T11:47:14,Added by Kristin Crocker,ShipTemp ,Contact,Note
